site_code;item_raw;item_phylum;item_class;item_ord;item_fam;grp1;grp3;grp6;grp7
vir;Fish;Chordata;Actinopterygii;NA;NA;Actinopterygii;Actinopterygii;Actinopterygii;Actinopterygii
vir;Cephalopods;Mollusca;Cephalopoda;NA;NA;Cephalopoda;Cephalopoda;Cephalopoda;Cephalopoda
vir;Aspidosiphon_sp;Sipuncula;Phascolosomatidea;Aspidosiphonida;Aspidosiphonidae;Sipuncula;Sipuncula;Worm;Worm
vir;Crab;Arthropoda;Malacostraca;Decapoda;NA;Brachyura;Malacostraca;Decapoda;Decapoda
vir;Polychaetes;Annelida;Polychaeta;NA;NA;Annelida;Annelida;Worm;Worm
vir;Asaphis_deflorata;Mollusca;Bivalvia;Veneroida;Psammobiidae;Bivalvia;Bivalvia;Bivalvia;Bivalvia
vir;Shrimp;Arthropoda;Malacostraca;Decapoda;NA;Shrimp;Malacostraca;Decapoda;Decapoda
vir;Hemichordates;Hemichordata;NA;NA;NA;Hemichordata;Hemichordata;Worm;Worm
vir;Stomatopod;Arthropoda;Malacostraca;Stomatopoda;NA;Stomatopoda;Malacostraca;Stomatopoda;Stomatopoda
vir;Gastropods;Mollusca;Gastropoda;NA;NA;Gastropoda;Gastropoda;Gastropoda;Gastropoda
vir;Pelecypod;Mollusca;Bivalvia;NA;NA;Bivalvia;Bivalvia;Bivalvia;Bivalvia
vir;Copepods;Arthropoda;Hexanauplia;NA;NA;Copepoda;Hexanauplia;Zooplankton;Zoopk_crust
vir;Crab_larvae;Arthropoda;Malacostraca;Decapoda;NA;Zooplankton;Malacostraca;Zooplankton;Eggs_larvae
vir;Shrimp_larvae;Arthropoda;Malacostraca;Decapoda;NA;Zooplankton;Malacostraca;Zooplankton;Eggs_larvae
vir;Pteropods_Cresis_sp;Mollusca;Gastropoda;Pteropoda;Creseidae;Pteropoda;Gastropoda;Zooplankton;Zoopk_others
vir;Fish_eggs;Chordata;Actinopterygii;NA;NA;Zooplankton;Actinopterygii;Zooplankton;Eggs_larvae
